Dst_Port,Protocol,Flow_Packets,Flow_Bytes,Flow_Duration,Packet_Rate,Byte_Rate,TCP_Flags_Sum
62157,6,8,1284,5.287237882614136,1.513077371893207,242.8489181888597,27
443,6,333,97142,411.3163061141968,0.8095959120753816,236.17347174422437,31
64759,17,34,35300,0.0694642066955566,489.460711025076,508175.3852701525,0
443,6,13,4606,4.408406019210815,2.9489116799471287,1044.8220921412674,27
56056,6,32,34581,4.505595922470093,7.1022791547753155,7675.122357852662,27
59203,17,1,145,0.001,1000.0,145000.0,0
58549,17,1,87,0.001,1000.0,87000.0,0
37287,17,1,170,0.001,1000.0,170000.0,0
41603,17,1,152,0.001,1000.0,152000.0,0
40031,17,1,270,0.001,1000.0,270000.0,0
56263,6,22,10233,5.260871887207031,4.181816336090192,1945.1148439641331,27
35282,17,1,102,0.001,1000.0,102000.0,0
65238,6,11,5804,1.469926834106445,7.483365664718133,3948.495847093095,27
58946,17,19,7599,1.5986061096191406,11.885354300645483,4753.516175295002,0
56569,6,436,599036,28.841876983642575,15.116907968481858,20769.66073809059,27
61560,17,21,7167,2.448636054992676,8.576203048706155,2926.935583337001,0
443,6,34,10746,2.8112680912017822,12.094186287820534,3822.474289674102,27
23487,17,1,229,0.001,1000.0,229000.0,0
55573,17,11,5042,0.127270221710205,86.4302729435567,39616.49419831026,0
51914,17,1,166,0.001,1000.0,166000.0,0
56307,17,1,527,0.001,1000.0,527000.0,0
5634,17,1,127,0.001,1000.0,127000.0,0
62285,6,7,5854,0.0204520225524902,342.2644377608356,286230.85980741883,26
57037,17,11,4434,0.0869998931884765,126.43693683818208,50965.579812772674,0
49550,6,3,222,0.001802921295166,1663.966146522084,123133.49484263425,25
443,17,76,18357,398.1683580875397,0.1908740321934144,46.10361327598037,0
443,6,9,2492,45.05611300468445,0.1997509194604576,55.30881014394004,26
51473,17,1,359,0.001,1000.0,359000.0,0
62637,17,60,63721,0.4688730239868164,127.96641506440572,135902.46557198325,0
64237,17,1,421,0.001,1000.0,421000.0,0
54868,17,1,149,0.001,1000.0,149000.0,0
