Dst_Port,Protocol,Flow_Packets,Flow_Bytes,Flow_Duration,Packet_Rate,Byte_Rate,TCP_Flags_Sum
443,6,6,348,156.65323519706726,0.03830115600518621,2.2214670483008,17
49475,6,5,330,156.64074182510376,0.031920175694665175,2.1067315958479016,17
443,6,178,93560,30533.112499952316,0.005829736486913281,3.0642143017730707,31
443,6,53,12968,30535.15510416031,0.001735704299493764,0.4246908180346251,27
49472,6,17,2271,152.23695707321167,0.11166802284299861,14.917534110379403,25
0,2,24,1200,30489.164633989334,0.0007871648924498505,0.03935824462249252,0
443,6,61,11440,26129.02673316002,0.0023345683948719632,0.4378272530710698,31
5353,17,41,4927,30538.31920194626,0.0013425755271228876,0.16133828346669432,0
0,2,30,1620,30487.892751932144,0.000983997163861014,0.05313584684849477,0
53,17,863,76824,30527.947722911835,0.02826917838804805,2.5165137433179647,0
55638,17,1,135,0.001,1000.0,135000.0,0
443,6,39,6506,2235.5516278743744,0.017445358681822214,2.910243681639367,223
443,6,13,8873,91.07973217964172,0.14273208417389022,97.42013714422522,24
30983,17,1,212,0.001,1000.0,212000.0,0
6942,17,1,256,0.001,1000.0,256000.0,0
49467,6,10,786,127.53824710845947,0.07840785197162013,6.162857164969343,28
49504,6,4,327,29.445883989334106,0.13584241524040783,11.105117445903339,25
49510,6,4,327,29.629451036453247,0.13500081372006462,11.036316521615282,25
443,6,5,294,29.954478979110718,0.16691994554426529,9.814892798002798,21
49509,6,4,327,29.799307107925415,0.13423130898691807,10.973409509680552,25
20002,17,28,10332,30510.157684087753,0.0009177271481164157,0.3386413176549574,0
55793,17,1,105,0.001,1000.0,105000.0,0
443,6,87,33335,11413.111706018448,0.007622811573299726,2.9207634919074295,223
49520,6,12,7246,0.9228310585021973,13.003463515279408,7851.92471930955,91
25959,17,1,146,0.001,1000.0,146000.0,0
19170,17,1,105,0.001,1000.0,105000.0,0
443,17,43,47340,0.6645870208740234,64.70183534949129,71232.2066382539,0
65229,17,30,6949,0.6893091201782227,43.52183820263893,10081.108455671265,0
21672,17,1,189,0.001,1000.0,189000.0,0
32979,17,1,150,0.001,1000.0,150000.0,0
443,17,11,5368,0.500424861907959,21.981321947236072,10726.885110251204,0
52195,17,13,11924,0.49958300590515137,26.021701791970326,23867.90555134263,0
57524,17,1,224,0.001,1000.0,224000.0,0
58727,17,1,206,0.001,1000.0,206000.0,0
443,6,637,49686,30491.96089887619,0.020890752225235773,1.6294786735683904,194
443,6,637,49686,30491.311091899872,0.020891197432609625,1.6295133997435507,194
443,6,637,49686,30490.773402929306,0.020891565838038147,1.6295421353669755,194
0,2,8,400,30374.99353313446,0.00026337454166939085,0.013168727083469544,0
59879,17,1,248,0.001,1000.0,248000.0,0
443,6,61,12936,30339.30330681801,0.0020105933014714864,0.42637762209565816,219
49522,6,10,5654,0.9815011024475098,10.188475565706046,5760.564084850199,91
49523,6,15,7432,1.1846249103546143,12.662235842659927,6273.715785509906,95
5353,17,42,4144,30452.187906980515,0.0013792112451260815,0.1360821761857734,0
18351,17,1,199,0.001,1000.0,199000.0,0
46802,17,1,161,0.001,1000.0,161000.0,0
44786,17,1,206,0.001,1000.0,206000.0,0
43722,17,1,179,0.001,1000.0,179000.0,0
443,17,120,40523,30459.95484495163,0.003939598748941959,1.330369667528125,0
61775,17,32,30146,1.3313491344451904,24.03576880931032,22643.196453920904,0
